domain,tier1_id,tier2_id
gamepro.de,"IAB29","IAB29-7"
scrabble.merriam.com,"IAB11","IAB11-4"
gulfnews.com,"IAB16","IAB16-7"
nigella.com,"IAB9","IAB9-12"
playfootball.games,"IAB29","IAB29-2"
polygon.com,"IAB29","IAB29-7"
baseball-reference.com,"IAB24","IAB24-3"
levante-emv.com,"IAB16","IAB16-9"
loudersound.com,"IAB15","IAB15-12"
hip2save.com,"IAB23","IAB23-1"
elmundo.es,"IAB16","IAB16-10"
foodtalkdaily.com,"IAB9","IAB9-12"
houseoutlook.com,"IAB12","IAB12-5"
hockeydb.com,"IAB24",
timesofisrael.com,"IAB16","IAB16-7"
m.sport5.co.il,"IAB24","IAB24-18"
unilad.com,"IAB16","IAB16-10"
kprofiles.com,"IAB1","IAB1-3"
click2houston.com,"IAB16","IAB16-9"
clickondetroit.com,"IAB16","IAB16-9"
wattpad.com,"IAB1",
haaretz.co.il,"IAB16","IAB16-7"
radio-uk.co.uk,"IAB15",
pokemondb.net,"IAB29","IAB29-7"
lejournaldelamaison.fr,"IAB12","IAB12-7"
cyclinguptodate.com,"IAB24","IAB24-10"
azcentral.com,"IAB16","IAB16-9"
buchstaben.com,"IAB5","IAB5-11"
de.motor1.com,"IAB2","IAB2-4"
nmas.com.mx,"IAB16","IAB16-10"
w3schools.com,"IAB26","IAB26-27"
news.walla.co.il,"IAB16","IAB16-10"
eldebate.com,"IAB16","IAB16-11"
financenemo.com,"IAB3","IAB3-1"
jamilacuisine.ro,"IAB9","IAB9-12"
libertatea.ro,"IAB16","IAB16-10"
gazzetta.it,"IAB24","IAB24-18"
programme-tv.net,"IAB27",
calciomercato.com,"IAB24","IAB24-18"
denverpost.com,"IAB16","IAB16-9"
leparisien.fr,"IAB16","IAB16-10"
seattletimes.com,"IAB16","IAB16-9"
bibamagazine.fr,"IAB25","IAB25-9"
indiandefencereview.com,"IAB16","IAB16-10"
bluestacks.com,"IAB26","IAB26-24"
record.pt,"IAB24","IAB24-18"
pause-maison.ouest-france.fr,"IAB12","IAB12-4"
smithsonianmag.com,"IAB16","IAB16-10"
saltandlavender.com,"IAB9","IAB9-12"
sportsport.ba,"IAB24","IAB24-18"
detroitnews.com,"IAB16","IAB16-9"
cnnbrasil.com.br,"IAB16","IAB16-10"
positivebloom.com,"IAB12","IAB12-4"
labyrinthos.co,"IAB21","IAB21-1"
chip.de,"IAB26","IAB26-8"
cbr.com,"IAB1",
netflu.com.br,"IAB24","IAB24-18"
thecozycook.com,"IAB9","IAB9-12"
tamingtwins.com,"IAB9","IAB9-12"
mein-mmo.de,"IAB29","IAB29-7"
aljazeera.net,"IAB16","IAB16-7"
publico.pt,"IAB16","IAB16-10"
games.usatoday.com,"IAB29","IAB29-2"
tz.de,"IAB16","IAB16-9"
picrew.me,"IAB8","IAB8-5"
flyordie.com,"IAB29","IAB29-7"
blitz.gg,"IAB29","IAB29-7"
diariodopeixe.com.br,"IAB24","IAB24-18"
inquirer.com,"IAB16","IAB16-9"
brightside.me,"IAB19","IAB19-4"
sciencepost.fr,"IAB22",
topclassactions.com,"IAB30","IAB30-2"
new22-abc.es,"IAB16","IAB16-6"
cuisineaz.com,"IAB9","IAB9-12"
vegoutmag.com,"IAB9","IAB9-13"
carscoops.com,"IAB2","IAB2-3"
mundodeportivo.com,"IAB24","IAB24-18"
hola.com,"IAB19","IAB19-1"
newsit.gr,"IAB16","IAB16-10"
bloggingtheboys.com,"IAB24","IAB24-1"
chess.com,"IAB11","IAB11-7"
fotocasa.es,"IAB20","IAB20-3"
wordfinder.yourdictionary.com,"IAB11","IAB11-4"
maxpreps.com,"IAB24",
chileautos.cl,"IAB2","IAB2-3"
screenrant.com,"IAB1",
doodle.com,"IAB26","IAB26-24"
ansa.it,"IAB16","IAB16-10"
travelquiz.com,"IAB28",
infojobs.com.br,"IAB4","IAB4-3"
thedodo.com,"IAB18",
livescience.com,"IAB22",
3bmeteo.com,"IAB22","IAB22-10"
rhymezone.com,"IAB5","IAB5-11"
basketball-reference.com,"IAB24","IAB24-4"
go.swellinfo.com,"IAB1","IAB1-4"
wordhippo.com,"IAB5","IAB5-11"
fantrax.com,"IAB24","IAB24-14"
guitarworld.com,"IAB11","IAB11-15"
redesigndaily.com,"IAB12","IAB12-7"
missyusa.com,"IAB7","IAB7-5"
tunein.com,"IAB15",
hotcars.com,"IAB2","IAB2-4"
mlb.com,"IAB24","IAB24-3"
probuilds.net,"IAB29","IAB29-7"
finanznachrichten.de,"IAB3","IAB3-1"
gp.se,"IAB16","IAB16-9"
marie-claire.es,"IAB25","IAB25-4"
theverge.com,"IAB26","IAB26-14"
eenadu.net,"IAB16","IAB16-10"
synonymer.se,"IAB5","IAB5-11"
rmf.fm,"IAB15",
clickorlando.com,"IAB16","IAB16-9"
worldofsolitaire.com,"IAB29","IAB29-2"
futbol-11.com,"IAB29","IAB29-2"
evite.com,"IAB6",
ksat.com,"IAB16","IAB16-9"
paycalculator.com.au,"IAB17","IAB17-4"
sapo.pt,"IAB16","IAB16-10"
famousbirthdays.com,"IAB19","IAB19-1"
shopgoodwill.com,"IAB23","IAB23-5"
lindependant.fr,"IAB16","IAB16-9"
greatergood.com,"IAB6","IAB6-8"
cope.es,"IAB16","IAB16-10"
timeout.com,"IAB28","IAB28-19"
ntvspor.net,"IAB24","IAB24-18"
dailygalaxy.com,"IAB22","IAB22-9"
gazetaexpress.com,"IAB16","IAB16-7"
cifraclub.com.br,"IAB15",
mobileapp.mako.co.il,"IAB16","IAB16-10"
mondaymandala.com,"IAB5","IAB5-10"
news4jax.com,"IAB16","IAB16-9"
vitablo.de,"IAB29","IAB29-10"
nydailynews.com,"IAB16","IAB16-9"
9gag.com,"IAB1","IAB1-4"
horseracingnation.com,"IAB24","IAB24-21"
eluniverso.com,"IAB16","IAB16-9"
onedio.com,"IAB19","IAB19-2"
rynekzdrowia.pl,"IAB13",
hellopeter.com,"IAB23","IAB23-2"
mondo.rs,"IAB16","IAB16-9"
topsante.com,"IAB13","IAB13-23"
citationmachine.net,"IAB5","IAB5-9"
dictionary.cambridge.org,"IAB5","IAB5-11"
radio-en-ligne.fr,"IAB15",
kooora.com,"IAB24","IAB24-18"
9news.com,"IAB16","IAB16-9"
ksl.com,"IAB16","IAB16-9"
dziennik.pl,"IAB16","IAB16-10"
dk-kogebogen.dk,"IAB9","IAB9-12"
travelreveal.com,"IAB28",
invoice-generator.com,"IAB3","IAB3-4"
mahjong.com,"IAB29","IAB29-2"
abola.pt,"IAB24","IAB24-18"
prideofdetroit.com,"IAB24","IAB24-1"
twoplayergames.org,"IAB29","IAB29-2"
atv.com.tr,"IAB27","IAB27-4"
recetasdecocina.elmundo.es,"IAB9","IAB9-12"
nemzetisport.hu,"IAB24","IAB24-18"
sports.walla.co.il,"IAB24",
bigblueview.com,"IAB24","IAB24-1"
amomama.de,"IAB16","IAB16-1"
insideevs.com,"IAB2","IAB2-10"
slate.com,"IAB16","IAB16-10"
moviepilot.de,"IAB14",
tokyvideo.com,"IAB27","IAB27-8"
wa.de,"IAB16","IAB16-9"
veja.abril.com.br,"IAB16","IAB16-11"
news.amomama.com,"IAB19","IAB19-1"
netvasco.com.br,"IAB24","IAB24-18"
thedrive.com,"IAB2","IAB2-4"
tigerdroppings.com,"IAB24","IAB24-1"
come-on.de,"IAB16","IAB16-9"
edition.cnn.com,"IAB16","IAB16-10"
tennisrecord.com,"IAB24","IAB24-35"
housely.com,"IAB12",
toutelatele.ouest-france.fr,"IAB27",
libertaddigital.com,"IAB16","IAB16-11"
worldanimalfoundation.org,"IAB18",
ilgiornale.it,"IAB16","IAB16-10"
programiz.com,"IAB26","IAB26-20"
winknews.com,"IAB16","IAB16-9"
corrieredellosport.it,"IAB24",
portalspozywczy.pl,"IAB9",
auto-motor-und-sport.de,"IAB2","IAB2-3"
elpais.com,"IAB16","IAB16-10"
police1.com,"IAB30","IAB30-3"
seatmaps.com,"IAB28","IAB28-3"
wrestlingheadlines.com,"IAB24",
worldjournal.com,"IAB16","IAB16-7"
mercurynews.com,"IAB16","IAB16-9"
viajar.elperiodico.com,"IAB28",
kreiszeitung.de,"IAB16","IAB16-9"
mic.com,"IAB16","IAB16-10"
deseret.com,"IAB16","IAB16-9"
pockettactics.com,"IAB29","IAB29-8"
noticiasdenavarra.com,"IAB16","IAB16-9"
cagesideseats.com,"IAB24","IAB24-38"
midilibre.fr,"IAB16","IAB16-9"
goldprice.org,"IAB17","IAB17-7"
websudoku.com,"IAB11","IAB11-4"
365scores.com,"IAB24",
net-empregos.com,"IAB4","IAB4-3"
fantasypros.com,"IAB24","IAB24-14"
woman.elperiodico.com,"IAB25","IAB25-9"
geeksforgeeks.org,"IAB5","IAB5-5"
todamateria.com.br,"IAB5","IAB5-9"
wweek.com,"IAB16","IAB16-9"
derniereheureqc.com,"IAB16","IAB16-9"
13tv.co.il,"IAB27","IAB27-8"
simplehomeedit.com,"IAB9","IAB9-12"
vlr.gg,"IAB29","IAB29-5"
abendzeitung-muenchen.de,"IAB16","IAB16-9"
milenio.com,"IAB16","IAB16-10"
pomofocus.io,"IAB26","IAB26-24"
wdrb.com,"IAB16","IAB16-9"
milliyet.com.tr,"IAB16","IAB16-10"
lifeintheuktestweb.co.uk,"IAB5","IAB5-1"
cincinnati.com,"IAB16","IAB16-9"
championselect.net,"IAB29","IAB29-7"
humanornot.so,"IAB26","IAB26-1"
behindthesteelcurtain.com,"IAB24","IAB24-1"
thevegnish.com,"IAB9","IAB9-13"
blog.giallozafferano.it,"IAB9","IAB9-12"
jigsawplanet.com,"IAB11","IAB11-4"
forums.redflagdeals.com,"IAB23","IAB23-2"
otempo.com.br,"IAB16","IAB16-9"
thedirect.com,"IAB27","IAB27-8"
sondakika.com,"IAB16","IAB16-10"
f1i.autojournal.fr,"IAB24","IAB24-2"
listindiario.com,"IAB16","IAB16-10"
sky.com,"IAB27","IAB27-8"
therealfooddietitians.com,"IAB9","IAB9-12"
gamerant.com,"IAB29","IAB29-7"
quoka.de,"IAB23","IAB23-5"
xda-developers.com,"IAB26","IAB26-6"
trademe.co.nz,"IAB23","IAB23-5"
m.soundcloud.com,"IAB15",
thedailymeal.com,"IAB9","IAB9-12"
deia.eus,"IAB16","IAB16-9"
lne.es,"IAB16","IAB16-9"
pt.besoccer.com,"IAB24","IAB24-18"
sammobile.com,"IAB26","IAB26-17"
batterypower.com,"IAB24","IAB24-3"
noticiasaominuto.com,"IAB16","IAB16-10"
elnacional.cat,"IAB16","IAB16-9"
mocospace.com,"IAB7","IAB7-1"
bunte.de,"IAB19","IAB19-1"
petapixel.com,"IAB8","IAB8-8"
gamesradar.com,"IAB29","IAB29-7"
portalsamorzadowy.pl,"IAB16","IAB16-9"
fr.mail.yahoo.com,"IAB26","IAB26-14"
archidekt.com,"IAB29","IAB29-7"
thesun.ie,"IAB16","IAB16-10"
signup.com,"IAB26","IAB26-24"
eltiempo.com,"IAB16","IAB16-10"
thegamer.com,"IAB29","IAB29-7"
manmadediy.com,"IAB12","IAB12-5"
chess-results.com,"IAB11","IAB11-7"
cnn.com,"IAB16","IAB16-10"
metatft.com,"IAB29","IAB29-7"
paddock-gp.com,"IAB24","IAB24-25"
autojournal.fr,"IAB2","IAB2-4"
farmhouseonboone.com,"IAB9","IAB9-12"
icd10data.com,"IAB13",
itatiaia.com.br,"IAB16","IAB16-10"
mathrubhumi.com,"IAB16","IAB16-10"
stroller-envy.com,"IAB7","IAB7-5"
soccernews.nl,"IAB24","IAB24-18"
eldiario.es,"IAB16","IAB16-10"
sandiegouniontribune.com,"IAB16","IAB16-9"
arrowheadpride.com,"IAB24","IAB24-1"
tinygardenhabit.com,"IAB12","IAB12-4"
rolimons.com,"IAB29","IAB29-7"
pravda.com.ua,"IAB16","IAB16-10"
gpblog.com,"IAB24","IAB24-2"
lancasteronline.com,"IAB16","IAB16-9"
nymag.com,"IAB16","IAB16-10"
crosswordsolver.org,"IAB11","IAB11-4"
mein-schoener-garten.de,"IAB12","IAB12-4"
mynet.com,"IAB16","IAB16-10"
unotv.com,"IAB16","IAB16-10"
topspeed.com,"IAB2","IAB2-4"
theobjective.com,"IAB16","IAB16-11"
tupi.fm,"IAB16","IAB16-9"
silverscreenandroll.com,"IAB24","IAB24-4"
agrarheute.com,"IAB3","IAB3-1"
lowellsun.com,"IAB16","IAB16-9"
origo.hu,"IAB16","IAB16-10"
barstoolsports.com,"IAB24",
recetafacill.com,"IAB9","IAB9-12"
amomama.es,"IAB19","IAB19-1"
la.lv,"IAB16","IAB16-10"
imgur.com,"IAB1","IAB1-4"
vinted.pl,"IAB23","IAB23-5"
bostonherald.com,"IAB16","IAB16-9"
themarker.com,"IAB3","IAB3-1"
myfamilytravels.com,"IAB28","IAB28-12"
poder360.com.br,"IAB16","IAB16-11"
psychologies.com,"IAB13","IAB13-28"
cityam.com,"IAB3","IAB3-1"
bleedinggreennation.com,"IAB24","IAB24-1"
weightlossgroove.com,"IAB10","IAB10-8"
vnexpress.net,"IAB16","IAB16-10"
univision.com,"IAB16","IAB16-7"
capital.fr,"IAB3","IAB3-1"
fupa.net,"IAB24","IAB24-18"
gardeningknowhow.com,"IAB12","IAB12-4"
vandal.elespanol.com,"IAB29","IAB29-7"
homestratosphere.com,"IAB12","IAB12-7"
walla.co.il,"IAB16","IAB16-10"
110min.de,"IAB27","IAB27-8"
wordreference.com,"IAB5","IAB5-11"
die-frau-am-grill.de,"IAB9","IAB9-12"
radio-danmark.dk,"IAB15",
mopo.de,"IAB16","IAB16-9"
maizenbrew.com,"IAB24","IAB24-1"
hotcopper.com.au,"IAB17","IAB17-7"
aov-news.com,"IAB29","IAB29-7"
theanimalrescuesite.com,"IAB18",
lauralaurentiu.ro,"IAB9","IAB9-12"
waseigenes.com,"IAB9","IAB9-12"
vinted.dk,"IAB23","IAB23-5"
stockanalysis.com,"IAB17","IAB17-7"
radio-italiane.it,"IAB15",
homeviable.com,"IAB9","IAB9-12"
skysports.com,"IAB24","IAB24-18"
astrology.com,"IAB22","IAB22-1"
wort-suchen.de,"IAB11","IAB11-4"
happyinshape.com,"IAB10","IAB10-3"
online-solitaire.com,"IAB29","IAB29-2"
statbroadcast.com,"IAB24",
purepeople.com.br,"IAB19","IAB19-1"
ndmais.com.br,"IAB16","IAB16-9"
insideevs.de,"IAB2","IAB2-10"
flightconnections.com,"IAB28","IAB28-3"
patspulpit.com,"IAB24","IAB24-1"
football365.fr,"IAB24","IAB24-18"
lolalytics.com,"IAB29","IAB29-7"
leckerschmecker.me,"IAB9","IAB9-12"
ciscos.biz,"IAB26","IAB26-1"
niezalezna.pl,"IAB16","IAB16-11"
coches.net,"IAB2","IAB2-3"
voici.fr,"IAB19","IAB19-1"
robbreport.com,"IAB23","IAB23-4"
linguee.com,"IAB5","IAB5-11"
makeuseof.com,"IAB26","IAB26-24"
kochkarussell.com,"IAB9","IAB9-12"
sun-sentinel.com,"IAB16","IAB16-9"
thechunkychef.com,"IAB9","IAB9-12"
app.howdidido.com,"IAB24","IAB24-20"
textnow.com,"IAB26","IAB26-17"
thesimplifydaily.com,"IAB17","IAB17-4"
12tomatoes.com,"IAB9","IAB9-12"
tvguia.es,"IAB27",
hockey30.com,"IAB24",
radio-en-vivo.mx,"IAB15",
classifieds.ksl.com,"IAB23","IAB23-5"
m.playbasket.it,"IAB24","IAB24-4"
kitco.com,"IAB17","IAB17-7"
tangerinezest.com,"IAB9","IAB9-12"
spotrac.com,"IAB24",
itexamanswers.net,"IAB5","IAB5-5"
whowhatwear.com,"IAB25","IAB25-4"
volleytalk.proboards.com,"IAB24","IAB24-37"
ecouter-en-direct.com,"IAB15",
pets4homes.co.uk,"IAB18","IAB18-4"
threadcurve.com,"IAB25","IAB25-4"
yummix.fr,"IAB9","IAB9-12"
whio.com,"IAB16","IAB16-9"
healthline.com,"IAB13",
king5.com,"IAB16","IAB16-9"
